action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,620976,0.0818,-0.5822,-0.0927,-1.8794,9.0118,0.3208,right
1,620999,0.3424,-0.3768,-0.0983,-1.4317,8.2815,-0.8691,right
1,621022,0.5268,-0.5902,-0.0349,-1.1109,8.5473,-1.494,right
1,621045,0.5268,-0.4349,-0.0149,-0.1053,9.347,-2.0734,right
1,621068,0.3789,-0.466,-0.008,0.1796,9.7636,-2.296,right
1,621091,0.3722,-0.7426,0.0392,0.1317,9.56,-2.1787,right
1,621114,0.5271,-0.7781,0.0048,-0.0383,9.2225,-2.2218,right
1,621137,0.5449,-0.9084,-0.0083,-0.1772,8.7891,-2.308,right
1,621160,0.5974,-1.0016,-0.0469,-0.4525,8.7556,-2.9377,right
1,621183,0.4708,-1.194,-0.0013,-0.929,9.0644,-4.2258,right
1,621206,0.1356,-1.2561,0.0965,-0.5148,9.1794,-4.3527,right
1,621229,0.0794,-1.2556,0.0941,0.237,9.2153,-3.6224,right
2,631639,-0.0698,-1.0978,0.1463,1.8627,8.5449,-2.7797,right
2,631662,-0.0658,-0.8479,0.0818,2.6193,7.6686,-2.794,right
2,631685,-0.1764,-1.0984,0.0568,2.3679,6.8187,-2.6839,right
2,631708,-0.3605,-1.4309,0.1314,1.8052,6.4931,-2.3822,right
2,631731,-0.3595,-1.3193,0.0951,2.2314,6.9073,-2.5546,right
2,631754,-0.1913,-1.2918,0.0037,2.2314,7.185,-3.1556,right
2,631777,-0.0962,-1.2542,-0.032,2.3367,7.8338,-3.8618,right
2,631800,-0.1953,-1.1327,-0.0274,2.5905,8.4515,-3.5769,right
2,631823,-0.3786,-0.9366,0.0205,3.1963,8.825,-3.2585,right
2,631846,-0.4525,-0.534,-0.024,4.2114,8.7101,-2.9951,right
2,631869,-0.2643,-0.2126,-0.1298,5.0422,8.6191,-2.909,right
2,631892,-0.0053,-0.7434,-0.1434,4.3,9.2249,-2.4684,right
3,638822,0.9577,-0.0666,-0.1364,0.2227,7.8985,-5.1811,right
3,638845,-0.1122,-0.4213,0.0296,0.2634,8.1427,-6.5745,right
3,638868,0.0562,-0.4234,0.0019,0.3687,8.1331,-4.6136,right
3,638891,0.1335,-0.6302,0.0285,-0.3232,8.4324,-3.8954,right
3,638914,0.2835,-0.8231,-0.0104,-0.1532,8.5497,-3.0526,right
3,638937,0.3174,-0.9835,0.0314,-1.1516,8.4204,-3.1699,right
3,638960,0.0405,-1.0872,0.2086,-1.1468,8.3965,-3.2298,right
3,638983,0.0648,-0.9377,0.2438,-0.1844,8.6072,-2.988,right
3,639006,0.2318,-0.8764,0.2369,0.1125,9.4858,-5.3151,right
3,639029,0.0149,-0.8809,0.2617,0.1556,10.3334,-4.9321,right
3,639052,0.1266,-0.9561,0.2801,0.395,10.1394,-4.5322,right
