action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,-0.0466,0.0184,0.0013,0.8021,-0.4118,10.2927,left
1,16,-0.0506,-0.0088,0.0000,0.6560,-0.3998,10.4579,left
1,29,-0.0501,-0.0019,0.0008,0.8188,-0.4190,10.2639,left
1,42,-0.0512,-0.0117,0.0005,0.5866,-0.4118,10.5058,left
1,55,-0.0512,-0.0189,0.0011,0.9050,-0.4334,10.2113,left
1,68,-0.0490,0.0187,0.0024,0.6800,-0.4357,10.4244,left
1,81,-0.0517,-0.0373,-0.0005,0.7709,-0.4262,10.3310,left
1,94,-0.0482,0.0048,0.0016,0.7661,-0.4214,10.2975,left
1,107,-0.0501,-0.0120,0.0008,0.7422,-0.4262,10.3669,left
1,120,-0.0496,0.0080,0.0016,0.7638,-0.4214,10.3597,left
1,133,-0.0504,-0.0144,0.0005,0.7302,-0.4286,10.3597,left
1,146,-0.0520,-0.0309,0.0000,0.7685,-0.4022,10.3525,left
1,159,-0.0528,-0.0384,0.0005,0.7470,-0.4166,10.3573,left
1,172,-0.0485,0.0168,0.0024,0.8715,-0.4094,10.2280,left
1,185,-0.0504,-0.0266,0.0011,0.6345,-0.4166,10.4651,left
1,198,-0.0496,-0.0083,0.0016,0.8212,-0.4190,10.2615,left
1,211,-0.0488,0.0032,0.0008,0.6680,-0.4070,10.4244,left
1,224,-0.0501,-0.0056,0.0016,0.8356,-0.4046,10.2400,left
1,237,-0.0509,-0.0147,-0.0003,0.6967,-0.3998,10.4052,left
1,250,-0.0498,-0.0187,0.0008,0.7925,-0.4214,10.3022,left
1,263,-0.0488,0.0048,0.0005,0.7254,-0.4190,10.3406,left
1,276,-0.0490,-0.0061,0.0013,0.7350,-0.4070,10.3693,left
1,289,-0.0490,0.0053,0.0019,0.7350,-0.4118,10.3310,left
1,302,-0.0496,-0.0043,0.0013,0.7614,-0.4166,10.3453,left
1,315,-0.0485,0.0093,0.0016,0.7542,-0.4166,10.3406,left
1,328,-0.0496,-0.0075,0.0011,0.6871,-0.4190,10.3837,left
1,341,-0.0504,-0.0107,0.0003,0.7566,-0.4190,10.3238,left
1,354,-0.0488,0.0024,0.0000,0.7398,-0.4238,10.3358,left
1,367,-0.0498,-0.0080,-0.0005,0.7254,-0.4214,10.3549,left
1,380,-0.0496,-0.0016,0.0005,0.7422,-0.4118,10.3310,left
1,393,-0.0498,-0.0037,0.0011,0.7015,-0.4046,10.3765,left
1,406,-0.0506,-0.0211,0.0003,0.7350,-0.4118,10.3190,left
