,precision,recall,f1-score,support
jump,0.9966216216216216,1.0,0.9983079526226735,295.0
left,1.0,0.9966101694915255,0.99830220713073,295.0
right,1.0,0.9864406779661017,0.9931740614334471,295.0
straight,0.9832775919732442,0.9966101694915255,0.98989898989899,295.0
accuracy,0.9949152542372881,0.9949152542372881,0.9949152542372881,0.9949152542372881
macro avg,0.9949748033987165,0.9949152542372881,0.9949208027714601,1180.0
weighted avg,0.9949748033987164,0.9949152542372881,0.9949208027714601,1180.0
