action_id,timestamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,action_label
1,2,-0.2817,0.2374,-0.2217,-1.8747,7.4986,-3.0598,straight
1,16,-0.2060,0.3251,-0.1935,-1.7047,7.6998,-2.6312,straight
1,29,-0.1188,0.3544,-0.2014,-1.7885,8.0493,-2.4588,straight
1,42,-0.0927,0.3016,-0.2481,-2.1620,8.4683,-2.3224,straight
1,55,-0.0160,0.2406,-0.2934,-3.5291,9.0070,-2.0686,straight
1,68,0.2041,0.1103,-0.3051,-5.8873,9.2703,-2.7007,straight
1,81,0.3555,-0.0376,-0.2619,-6.5841,9.2296,-3.6823,straight
1,94,0.3493,-0.1556,-0.2182,-5.7150,9.3063,-5.4468,straight
1,107,0.1516,-0.3035,-0.1823,-4.3910,10.1466,-5.5617,straight
1,120,-0.1410,-0.2507,-0.2585,-3.7589,11.3940,-4.7645,straight
1,133,-0.3110,-0.0962,-0.3928,-4.1970,12.7372,-3.6129,straight
1,146,-0.3613,0.1069,-0.5319,-6.3015,14.3748,-2.4804,straight
1,159,-0.2790,0.3333,-0.6009,-8.3055,15.7993,-1.0391,straight
1,172,0.0021,0.4151,-0.6131,-8.5114,16.2159,-0.0958,straight
1,185,0.2753,0.4319,-0.6230,-6.8785,13.1370,-0.3208,straight
1,198,0.4112,0.5809,-0.6400,-5.0182,9.8593,-1.2378,straight
1,211,0.3507,0.6909,-0.6169,-4.0294,7.4268,-1.8459,straight
1,224,0.0264,0.4359,-0.4996,-4.5993,5.7748,-1.0511,straight
1,237,-0.3808,0.1484,-0.1761,-5.9352,5.8826,0.4980,straight
1,250,-0.4727,0.0618,0.1042,-6.6559,7.2592,0.3017,straight
1,263,-0.3922,-0.0029,0.1900,-6.4620,8.7364,-0.8236,straight
1,276,-0.2825,0.0424,0.0997,-5.2122,9.6486,-2.1117,straight
1,289,-0.1972,0.0754,0.0517,-3.5027,9.2871,-2.4110,straight
1,302,-0.0855,0.1359,0.1116,-2.6839,7.8673,-2.2984,straight
1,315,0.0043,0.2598,0.1074,-2.5187,6.8259,-2.0734,straight
1,328,0.0266,0.3776,0.0354,-2.5355,6.4572,-2.4301,straight
1,341,-0.0027,0.4125,-0.1007,-2.9544,6.3351,-2.9161,straight
1,354,-0.1069,0.3475,-0.2425,-3.6129,6.0286,-3.1077,straight
1,367,-0.2886,0.2145,-0.3507,-4.0151,5.5210,-2.9090,straight
1,380,-0.4466,0.1282,-0.3515,-4.0414,5.1092,-2.5522,straight
1,393,-0.5529,0.0333,-0.2531,-3.7469,4.9249,-1.9848,straight
1,406,-0.5345,-0.0091,-0.1287,-3.4237,5.1332,-1.4964,straight
